Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentuemer;OK Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergaenzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
621;Quelle Gerstboden;oberer Gerstboden;Elm;8767;730940;198730;;Brunnengemeinschaft;1440;0;73019802;aus Plan gelesen;Trinkwasser;2 Ferienhäuser + Einzelliegenschaft;Sicker-/Zuleitung;gut-genügend;Betondeckel;Brunnenstube;Feldaufnahmen;Fridolin Disch, Gerstboden Elm;;;24;25;;;keine vorh.;1;nein;Brunner;15.05.1998;38;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
622;Quelle Wald;;Elm;8767;;;;Brunnengemeinschaft;;;;;Brauchwasser;Brunnen;;;;Brunnenstube;;Samuel Hefti, EW Elm;;;;;;;;;;;15.05.1998;39;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
623;Quelle Schliefer;Schliefer;Elm;8767;730700;197700;;Gebr. Hauser;1340;0;73019703;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisen 4 Kant;Brunnenstube;Feldaufnahmen;Samuel Hefti, EW Elm;;;10;11;;;keine vorh.;2;nein;Brunner;15.05.1998;42;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
624;Quelle Empächli;;Elm;8767;730870;198140;;Brunnengemeinschaft;1445;0;73019801;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Samuel Hefti, EW Elm;;;15;16;;;keine vorh.;0;nein;Brunner;15.05.1998;40;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
625;Quelle Empächli;;Elm;8767;;;;Hans Rhyner, Spicher;;;;;im Moment ungenutzt;WV Einzelliegenschaft;;;;Brunnenstube;;;;;;;;;;;;;15.05.1998;41;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
626;Quelle Hinter Empächli Bergli;;Elm;8767;730270;197700;;Dr. Lalive, Bergli;1455;0;73019704;aus Plan gelesen;Trinkwasser;Ferienhaus;Sicker-/Zuleitung;gut;Eisen 4kant. Schrauben;Brunnenstube;Feldaufnahmen;;;;17;18;;;keine vorh.;1;nein;Brunner;15.05.1998;43;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
627;Quelle Batschwändi-Bort;;Elm;8767;;;;Pankraz Rhyner, Oberhus;;;;;Brauchwasser;Stall;;;;Brunnenstube;;;;;;;;;;;;;15.05.1998;44;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
628;Quelle Güetli;;Elm;8767;731600;198110;;Kasp. Rhyner;1180;0;73119802;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisen 4kant. Schrauben;Brunnenstube;Feldaufnahmen;;;;21;22;;;keine vorh.;2;nein;Brunner;15.05.1998;45;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
629;Quelle Stalden;Stalden;Elm;8767;731270;197620;;Marg. Elmer;1130;;73119705;aus Plan gelesen;Trinkwasser;Ferienhaus;;;;Brunnenstube;;;überdeckt mit Holz --> nicht gefunden;;;;;;keine vorh.;;;Brunner;15.05.1998;46;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
630;Quelle Stalden 2;Stalden;Elm;8767;731280;197610;;Ruedi Elmer-Zweifel;1125;0;73119706;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Bachwasserfassung;genügend-schlecht;Blech-Deckel;Brunnenstube;Feldaufnahmen;Ruedi Elmer- Zweifel, Stalden Elm;;;16;17;;;;0;nein;Brunner;15.05.1998;47;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
631;Quelle Waldboden;Waldboden;Elm;8767;730810;197540;;Ruedi Rhyner;1345;0;73019706;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Ruedi Rhyner, Waldboden Elm;;;;;;;keine vorh.;1;nein;Brunner;15.05.1998;48;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
632;Quelle Blossenalp 2;Blossenalp;Niederurnen;8867;716340;220780;;Tagwen Niederurnen;1412;0;71622002;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube/Sammelschacht;Feldaufnahmen;Müller Georg, Herrenberg Niederurnen;;;34;35;;;keine vorh.;1;nein;Brunner;17.08.1999;9;17.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
633;Quelle Schür;Schür;Betschwanden;8777;;;;E. Fux, Zürich;;;;;Brauchwasser;Vieh-Tränke;;gut;;;Gemeinde;Thomas Zweifel, Werkführer Betschwanden;nicht aufgenommen;;;;;;keine vorh.;;;;16.04.1998;11;;03.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
634;Quelle Bann (gross Schräje);Bann;Betschwanden;8777;;;;Gemeinde Betschwanden;;;;;im Moment ungenutzt;;Stollen;gut;Türe;Brunnenstube;Gemeinde;Thomas Zweifel, Werkführer Betschwanden;nicht aufgenommen;;;;;;keine vorh.;;;;16.04.1998;12;;03.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
635;Quelle Schlatt;Schlatt;Betschwanden;8777;720270;200750;;F. Kündig;670;;;aus Plan gelesen;Trinkwasser;Brunnen;;gut;;Brunnenstube;Gemeinde;Thomas Zweifel, Werkführer Betschwanden;identisch Quelle Zopfisol (488) oder Obermarglan (Schlüssel 491)? Gemäss Ang Th.Z vom 11.2001 ist die die neue Fassung für das Haus F. Kündig;;;;;;keine vorh.;;;;16.04.1998;13;;03.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
636;Oberbiltner Brunnenquelle (untere);Rütiwald;Bilten;8865;720300;222340;1;Gde. Bilten;540;0;72022203;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;Bachwasser für Dorfbrunnen;;C17;;;;keine vorh.;1;nein;M. Simmler;25.03.1998;35;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
637;Flüssliquelle oben;im Flüssli;Bilten;8865;719140;223130;1;Gde. Bilten;600;0;71922305;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;;;C10;;;;keine vorh.;2;nein.;M. Simmler;25.03.1998;36;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
638;Weidquelle Elmen;Elmen;Bilten;8865;719960;222980;1;Gde. Bilten;470;20;71922201;aus Plan gelesen;Brauchwasser;Weidbrunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;;;C14;C15;;;keine vorh.;1;nein;M. Simmler;25.03.1998;37;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
639;Brunnenquelle Elmen;Elmen;Bilten;8865;719925;223045;1;Gde. Bilten;470;50;71922306;aus Plan gelesen;Brauchwasser;Brunnen;aufstossend ?;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;;;C12;C13;;;keine vorh.;;nein;M. Simmler;23.03.1998;38;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
640;Brunnen oberer Sonnenberg;Langriet;Bilten;8865;716850;222370;1;Tagwen Bilten;1260;0;71622201;aus Plan gelesen;Brauchwasser;Wegbrunnen/Weidbrunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;ev. Trinkwasser (Wanderer);;B4;B5;;;keine vorh.;1;nein;M. Simmler;28.03.1998;39;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
641;Brunnen Stall Sonnenberg;Sonnenberg;Bilten;8865;717925;222990;1;Tagwen Bilten;1120;0;71722202;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;ev. Trinkwasser für Wanderer, 1998 neu gefasst;;B8;B9;;;keine vorh.;1;nein;M. Simmler;29.03.1998;40;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
642;Brunnenwasser Tannenboden;Hahnenwald;Bilten;8865;717690;221550;1;Tagwen Bilten;1450;0;71722105;aus Plan gelesen;Brauchwasser;Brunnen;;;;;Gemeinde;Herr Winteler, Bauamt Bilten;nur Weidbrunnen --> nicht aufgenommen;;;;;;keine vorh.;1;nein;;28.03.1998;41;;19.06.1998;WAHR;WAHR;FALSCH;FALSCH
643;Weidbrunnen Wasserboden;Unter-Niedern;Bilten;8865;718480;222430;1;Tagwen Bilten;1120;0;71822202;aus Plan gelesen;Brauchwasser;Brunnen;;;;;Gemeinde;Herr Winteler, Bauamt Bilten;nur Weidbrunnen --> nicht aufgenommen;;;;;;keine vorh.;1;nein;;28.03.1998;42;;19.06.1998;WAHR;WAHR;FALSCH;FALSCH
644;Weidbrunnen, Rufibach;Unter-Niedern;Bilten;8865;718640;222030;1;Tagwen Bilten;1220;0;71822203;aus Plan gelesen;Brauchwasser;Brunnen;;;;;Gemeinde;Herr Winteler, Bauamt Bilten;nur Weidbrunnen --> nicht aufgenommen;;;;;;keine vorh.;1;nein;;28.03.1998;43;;19.06.1998;WAHR;WAHR;FALSCH;FALSCH
645;Quelle Ahornhütte;Ahorn;Bilten;8865;719350;221865;1;Tagwen Bilten;1270;0;71922101;aus Plan gelesen;Trinkwasser;Brunnen bei Jägerhütte;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube;Gemeinde;Herr Winteler, Bauamt Bilten;Deckel defekt;;A22;A23;;;keine vorh.;1;nein;M. Simmler;28.03.1998;44;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
646;Auern Oberstafel, Gumen;Mittelblanke;Netstal;8754;719390;213130;2000;Gemeinde Netstal;1955;0;71921301;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;sanierungsbedürftig;Steinplatten;Brunnenstube;Gemeinde;Hanspeter Spälti, Werkführer Netstal;;;6;7;;;keine vorh.;1;nein;R. Brunner;26.05.1998;2;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
647;Auern Mittelstafel;Unter Gumenloch;Netstal;8754;719880;212910;2000;Gemeinde Netstal;1750;;71921201;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;ab Fels;sanierungsbedürftig;keine vorh.;kein Schacht;Gemeinde;Hanspeter Spälti, Werkführer Netstal;;;10;11;12;;keine vorh.;;nein;R. Brunner;26.05.1998;3;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
648;Auern Unterstafel;Unterbützi;Netstal;8754;720710;212995;2000;Gemeinde Netstal;1540;0;72021201;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;sanierungsbedürftig;Eisendeckel;Brunnenstube;Gemeinde;Hanspeter Spälti, Werkführer Netstal;Alp Auern Unterstafel und Jagdhütte;;13;14;;;keine vorh.;1;nein;R. Brunner;26.05.1998;4;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
649;Quelle Chräberg;Obloch;Netstal;8754;723930;214520;850;Gemeinde Netstal;705;0;72321401;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Gemeinde;Hanspeter Spälti, Werkführer Netstal;Liegenschaft Chräberg;;23;24;;;keine vorh.;1;nein;R. Brunner;26.05.1998;;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
650;Brunnenstübli Quelle;Krummrunse;Glarus;8750;721875;210640;;Gemeinde Glarus;645;0;72121002;aus Plan gelesen;Trinkwasser;Brunnen;Sicker-/Zuleitung;gut;Faserplatte;Brunnenstube;Gemeinde Glarus;Kaspar Figi, Werkführer Glarus;2 Brunnen, Quelle versiegt zeitweise;;32;;;;keine vorh.;1;nein;R. Brunner;26.05.1998;22;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
651;Quelle Stutz 2;Stutz;Matt;8766;730930;201735;;Gde. Matt;1090;0;73020108;aus Plan gelesen;Trinkwasser;WV Gemeinde;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Christoph Marti, Werkführer Matt;;;6;7;;;keine vorh.;0;nein;Brunner;18.10.1999;;18.10.1999;;WAHR;FALSCH;FALSCH;FALSCH
652;Quelle Chäseren;Längenboden;Glarus;8750;714200;205740;2143;Gemeinde Netstal;1260;0;71420501;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Gemeinde Netstal;Hanspeter Spälti, Werkführer Netstal;Alp Käsern;;18;19;;;keine vorh.;;nein;R. Brunner;26.05.1998;26;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
653;Quelle Loch;Lochstafel;Glarus;8750;717660;211550;2097;Gemeinde Netstal;1600;0;71721101;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Gemeinde Netstal;Hanspeter Spälti, Werkführer Netstal;Alp Lochstafel;;31;32;;;keine vorh.;1;nein;R. Brunner;26.05.1998;27;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
654;Quelle Ober Rueggis;Brünneliplanke;Glarus;8750;716800;211240;2120;Gemeinde Netstal;1690;;71621101;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;;unbekannt;unbekannt;Gemeinde Netstal;Hanspeter Spälti, Werkführer Netstal;Alp Rueggis Oberstafel, Schacht überdeckt, Quelle versiegt zeitweise;;28;;;;keine vorh.;;;R. Brunner;26.05.1998;28;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
655;Quelle Schijen;Chli Gumen;Netstal;8754;718420;213230;2097;Gemeinde Netstal;2120;;71821301;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;keine vorh.;kein Schacht;Gemeinde Netstal;Hanspeter Spälti, Werkführer Netstal29;Melkstand Schijen;;4;5;;;keine vorh.;;nein;R. Brunner;26.05.1998;;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
656;Quelle Dejen;Dejen;Glarus;8750;718035;212380;2097;Gemeinde Netstal;1780;;71821201;aus Plan gelesen;Trinkwasser;Alpgebäude, Käserei;ab Fels;sanierungsbedürftig;keine vorh.;kein Schacht;Gemeinde Netstal;Hanspeter Spälti, Werkführer Netstal;Alp Dejen;;29;30;;;keine vorh.;;nein;R. Brunner;26.05.1998;30;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
657;Quelle Wisswand;Wisswand;Luchsingen;8775;720880;203770;;Gebr. Figi;1150;0;72020307;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Gemeinde;Fritz Dönni, Werkführer Gde. Luchsingen;Quelle für 3 Familien;;7;8;;;keine vorh.;3;nein;R. Brunner;29.05.1998;32;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
658;Quelle Birchen;Birchen;Luchsingen;8775;;;;;;;;;im Moment ungenutzt;;;;;;Gemeinde;;"Frühere Fassung für Mittelstafel; ersetzt durch Quelle Tierbrünnen --> nicht aufgenommen";;;;;;keine vorh.;;;;29.05.1998;;;27.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
659;Quelle Tierbrunnen;Tierbrunnen;Luchsingen;8775;718130;203200;;Gde. Luchsingen;1505;0;71820301;aus Plan gelesen;Trinkwasser;Mittelstafel Bösbächi, (Bergwirtschaft??);Sicker-/Zuleitung;gut;Holz;Brunnenstube;Gemeinde;Fritz Dönni, Werkführer Gde. Luchsingen;"Neufassung 1996, kein Hausanschluss; gem. Angaben Lebensmittelinspekt von Feb. 2001: Wasser nicht für Wirtschaft, Versorgung für Bösbächi Mittelstafel (Mittelstafel).";;12;13;;;erforderlich;2;nein;R. Brunner;29.05.1998;24;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
660;Quelle Platschgenboden;Platschgenboden;Luchsingen;8775;;;;;;;;;im Moment ungenutzt;;;;;;Gemeinde;;wird nicht mehr genutzt --> nicht aufgenommen;;;;;;;;;;29.05.1998;;;27.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
661;Quelle Bösbächi Ober Stafel E;Ober Stafel;Luchsingen;8775;718480;202500;;Gde. Luchsingen;1695;50;71820201;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Gemeinde;Fritz Dönni, Werkführer Gde. Luchsingen;;;9;10;;;keine vorh.;1;nein;R. Brunner;29.05.1998;25;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
662;Quelle Oberblegi Unter Stafel;Unter Stafel;Luchsingen;8775;720000;204030;;Blumer Stiftung, Schwanden;1430;0;72020403;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Blech-Deckel;Brunnenstube;Gemeinde;Fritz Dönni, Werkführer Gde. Luchsingen;;;16;17;;;keine vorh.;0;nein;R. Brunner;29.05.1998;27;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
663;"J10; Quelle Fruttberge 1";Sonnenberg;Linthal;8783;717107;196795;478;J. Zweifel;1050;0;71719606;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Josef Zweifel-Heissenberger, Bazenheid;;;7;8;;;keine vorh.;2;nein;R. Brunner;01.09.1998;35;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
664;J16, Quelle Fruttberge 2;Sonnenberg;Linthal;8783;717093;196755;478;J. Zweifel;1050;0;71719607;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube;Gemeinde;J. Zweifel-Heissenberger, Bazenheid;;;9;10;;;keine vorh.;2;nein;R. Brunner;01.09.1998;36;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
665;Lachenalp;Lachenalp Stafeli;Näfels;8752;715350;212670;10;Gemeinde Näfels;1580;0;71521201;aus Plan gelesen;Trinkwasser;Alpgebäude/Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;2 separate Schächte für Zuläufe;;C33;C34;C35;;keine vorh.;2;nein;M. Simmler;04.06.1998;51;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
666;Sülzli;Sülzli;Näfels;8752;716360;213900;10;Landolt Emil;1350;40;71621302;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;schlecht;Blech-Deckel;Brunnenstube;Gemeinde;Landolt Emil, Sonnenweg 6, 8752 Näfels;"Heuerhütte
Deckel nicht dicht";;C36;;;;keine vorh.;;nein;M. Simmler;04.06.1998;52;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
667;Quelle Sulzboden;Schwämmli;Näfels;8752;716520;214710;10;Gemeinde Näfels;1305;40;71621401;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube/Sammelschacht;Gemeinde;E. Schindler, Bauamt Näfels;renoviert 1994, einzelne Fassungen nicht zugänglich;;C37;C38;D1+2;;erforderlich;2;nein;M. Simmler;04.06.1998;53;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
668;Quelle Rauti Alp;Alt Stafel;Näfels;8752;718090;214285;10;Gemeinde Näfels;1695;0;71821401;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;sanierungsbedürftig;Eisendeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;Versorgung Rauti-Alp;;C22;C23;C24;;keine vorh.;1;nein;M. Simmler;04.06.1998;54;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
669;Quelle Grappli;Rautialp;Näfels;8752;717590;214050;10;Gemeinde Näfels;1590;0;71721401;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;Versorgung Grapplialp;;C27;C28;;;keine vorh.;1;nein;M. Simmler;04.06.1998;55;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
670;Quelle Aellenboden;Aellenboden;Näfels;8752;717780;215760;10;Privat;1180;0;71721502;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;Heuerhütten Aellenboden, via Widder;;D3;D4;D5;;keine vorh.;1;nein;M. Simmler;04.06.1998;56;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
671;Quelle Kreuzegg;Kreuzegg;Näfels;8752;717970;215845;10;Privat;1095;0;71721504;aus Plan gelesen;Trinkwasser;Ferienhäuser;ab Fels;schlecht;Blech-Deckel;Brunnenstube;Gemeinde;Georg Müller-Harder, am Linthli 6, 8752 Näfels;;;J9;J10;;;keine vorh.;;nein;M. Simmler;04.06.1998;57;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
672;Quelle Kreuzegg-Alp;Kreuzegg;Näfels;8752;718340;215770;10;Gemeinde Näfels;1020;0;71821501;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;sanierungsbedürftig;Betondeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;Versorgung Alp Kreuzegg;;J11;J12;;;keine vorh.;1;nein;M. Simmler;04.06.1998;58;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
673;Quelle Ahornen-Alp;Ahornenalpli;Näfels;8752;716215;217450;10;Gemeinde Näfels;1520;20;71621701;aus Plan gelesen;Trinkwasser;Alpgebäude / Ferienhäuser;Sicker-/Zuleitung;gut;Türe;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;;;D8;D9;;;erforderlich;2;nein;M. Simmler;04.06.1998;59;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
674;Quelle Sööli;Stäfeli;Näfels;8752;717900;217265;10;Heuer Sööli;1470;;71721703;aus Plan gelesen;Trinkwasser;Alpgebäude;Wasseraustritt;sanierungsbedürftig;keine vorh.;kein Schacht;Gemeinde;E. Schindler, Bauamt Näfels;fliesst via offene Holzleitung in Brunnen;;D13;D14;;;keine vorh.;;;M. Simmler;04.06.1998;60;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
675;Quelle Enzian-Alp;Grubenwald;Näfels;8752;718830;216710;10;Gemeinde Näfels;1110;0;71821602;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;E. Schindler, Bauamt Näfels;Versorgung Enzian Alp;;J15;J16;;;keine vorh.;1;nein;M. Simmler;04.06.1998;61;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
676;Quelle Obersee-Stafel;Enzianalp;Näfels;8752;718665;216450;10;R. Schindler Näfels;1070;10;71821603;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Reinhard Schindler, Herrenweg 30, 8752 Näfels;;;J17;J18;;;keine vorh.;1;nein;M. Simmler;04.06.1998;64;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
677;Quelle Gwerb;Gwerb;Näfels;8752;719415;216730;10;Jos. Fischli;1040;50;71921601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;Jos. Fischli-Krähenmann, Villäggen 22, 8752 Näfels;;;J21;J22;;;keine vorh.;1;nein;M. Simmler;04.06.1998;63;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
678;Quelle Feldmann 1;Enzianalp;Näfels;8752;718600;216315;10;Feldmann Fritz;1040;0;71821604;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Feldmann-Zuberbühler, Asylstr. 40, 8750 Glarus;;;18;19;20;;keine vorh.;;nein;R. Brunner;04.06.1998;62;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
679;Quelle Türliboden;Türliboden;Näfels;8752;719180;216720;;Hans Oswald;1060;;71921602;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Bachwasserfassung;sanierungsbedürftig;keine vorh.;kein Schacht;Gemeinde;Hans Oswald, Risi 28, 8752 Näfels;;;J23;J24;;;keine vorh.;;nein;M. Simmler;04.06.1998;65;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
680;Quelle Sööliwald;Brunnmettlen;Näfels;8752;717925;216850;;Erbengemeinschaft Gallati;1240;50;71721602;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;schlecht;Pilzdeckel;Brunnenstube;Gemeinde;"Erbengemeinschaft R. Gallati; Prof. Dr. Felix Aeppli, Wirzenweid 23, 8053 Zürich";eigentliche Fassung nur mit Steinen eingedeckt;;D15;D16;;;keine vorh.;1;ja;M. Simmler;04.06.1998;66;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
681;Quelle Wildhüterhütte;Chalberböden;Näfels;8752;718140;216685;10;Baudir. Kt. Glarus;1200;0;71821606;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;"Wildhüter; Hans Fischli-Krieg, Büntgasse 5, 8752 Näfels";Wildhüterhütte;;D17;D18;;;keine vorh.;1;nein;M. Simmler;04.06.1998;67;01.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
682;Quelle Tros;Tros;Näfels;8752;720180;214900;10;Gemeinde Näfels;1700;;;aus Plan gelesen;Brauchwasser;Vieh-Tränke;;;;;Gemeinde;E. Schindler, Bauamt Näfels;nicht aufgenommen;;;;;;keine vorh.;;;;04.06.1998;;;20.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
683;Quelle Inner Wiggis;Inner Wiggis;Näfels;8752;722180;215800;10;Landolt Alfred;920;;72221501;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;schlecht;;kein Schacht;Gemeinde;Alfred Landolt-Noser, Glärnischstr. 17, 8868 Oberurnen;Haupt- + Nebenquelle, ein Teil des Wassers läuft direkt zur Hütte;;J4;J5;J6;;keine vorh.;2;nein;M. Simmler;04.06.1998;69;20.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
